token,pilot_count,full_corpus_count,full_corpus_pages,dominant_section
ycheo,1,11,10,S
iim,1,1,1,A
okesoe,1,1,1,A
shees,1,9,9,H
dalaiin,1,3,3,A
cheodaiin,1,13,13,S
soairol,1,1,1,A
chokeody,1,5,5,H
ykeedal,1,2,2,H
choikhedy,1,1,1,A
chteokaiin,1,1,1,A
choteedy,1,1,1,A
epchy,1,1,1,A
chpar,1,2,2,A
sheees,1,3,3,H
deedy,1,5,5,B
soeteed,1,1,1,A
octheey,1,1,1,A
eokeot,1,1,1,A
choteoky,1,1,1,A
chockhy,1,23,23,H
daram,1,9,9,H
schdes,1,1,1,A
dchschdy,1,1,1,A
otardar,1,1,1,A
ykaros,1,1,1,A
eetees,1,1,1,A
ykeos,1,3,3,H
otodaiin,1,5,5,C
chetejy,1,1,1,A
chedar,1,34,23,S
ychsy,1,1,1,A
keds,1,1,1,A
aldy,1,14,14,H
archeo,1,1,1,A
qoikeey,1,1,1,A
cheockhey,1,2,2,S
oteochedy,1,1,1,A
okechdar,1,1,1,A
dararal,1,1,1,A
okeorar,1,2,2,A
sotey,1,2,2,A
yteey,1,31,23,H
oteees,1,3,3,H
sheokeey,1,3,3,A
oteodal,1,6,6,Z
chokeed,1,1,1,A
keedais,1,1,1,A
deeety,1,1,1,A
teodain,1,1,1,A
chekchy,1,5,4,T
chparam,1,1,1,A
seeaiir,1,1,1,A
sosaiir,1,1,1,A
sheosam,1,1,1,A
ykeeody,1,13,11,H
dalary,1,2,2,A
otchey,1,33,26,S
chkey,1,8,8,H
shep,1,2,2,H
chly,1,1,1,C
sheteal,1,1,1,C
dshy,1,8,8,H
chchet,1,1,1,C
ykecy,1,1,1,C
ykeeo,1,7,7,H
ald,1,5,5,H
shekey,1,5,5,H
oteog,1,1,1,C
ckhhey,1,1,1,C
shshy,1,1,1,C
cheeog,1,1,1,C
ddlar,1,1,1,C
yol,1,2,2,H
aloees,1,2,2,C
ytaiir,1,1,1,C
otaldal,1,3,3,C
cholckhhy,1,1,1,C
ytals,1,1,1,C
dalam,1,6,6,S
oparam,1,1,1,C
dolshol,1,1,1,C
shocthhy,1,2,2,C
shokal,1,5,5,S
kshody,1,2,2,H
chotals,1,1,1,C
shkal,1,1,1,C
chcthhy,1,4,4,C
chokal,1,7,7,S
choikhy,1,1,1,C
okeeal,1,1,1,C
teedy,1,15,13,S
dgr,1,1,1,C
